"ImageURL","Title","Artist","Year","happy"
"https://uploads3.wikiart.org/images/albert-marquet/bay-of-naples-1908.jpg","Bay of Naples","Albert Marquet","1908","0.900"
"https://uploads8.wikiart.org/images/claude-monet/madame-monet-and-child(1).jpg","Camille Monet and a Child in the Artistâs Garden in Argenteuil","Claude Monet","1875","0.900"
"https://uploads0.wikiart.org/images/ivan-shishkin/a-walk-in-the-forest-1869.jpg","A Walk in the Forest","Ivan Shishkin","1869","0.900"
"https://uploads2.wikiart.org/images/julian-ashton/sentry-box-reach-hawkesbury-river-new-south-wales-1886.jpg","Sentry-box Reach, Hawkesbury River, New South Wales","Julian Ashton","1886","0.900"
"https://uploads2.wikiart.org/images/hercules-seghers/mountain-valley.jpg","Mountain valley","Hercules Seghers","XVII cent.","0.900"
"https://uploads7.wikiart.org/images/francisco-bayeu-y-subias/el-paseo-de-las-delicias-en-madrid-1785.jpg","El paseo de las Delicias, en Madrid","Francisco Bayeu y Subias","1785","0.900"
"https://uploads3.wikiart.org/images/frederic-bazille/bathers-summer-scene-1869.jpg","Bathers (Summer Scene)","Frederic Bazille","1869","0.900"
"https://uploads8.wikiart.org/images/jacob-van-strij/view-on-the-nederwaard.jpg","View on the Nederwaard","Jacob van Strij","XVIII-XIX cent.","0.900"
"https://uploads1.wikiart.org/images/dmitry-levitzky/portrait-of-e-n-khruschova-and-princess-e-n-khovanskaya-1773.jpg","Portrait of E. N. Khruschova and Princess E. N. Khovanskaya","Dmitry Levitzky","1773","0.900"
"https://uploads6.wikiart.org/images/jean-honore-fragonard/the-swing-1767.jpg","The Swing","Jean-Honore Fragonard","1767","0.900"
"https://uploads8.wikiart.org/00120/images/agostino-tassi/festivities-on-the-coast-calendimaggio-1620.jpg","Festivities on the Coast (Calendimaggio)","Agostino Tassi","1620","0.900"
"https://uploads8.wikiart.org/images/berthe-morisot/after-luncheon.jpg","After Luncheon","Berthe Morisot","1881","0.900"
"https://uploads3.wikiart.org/images/marianne-north/view-of-round-island-and-a-part-of-st-anne-s-from-quarantine-island-1883.jpg","View of Round Island and a Part of St Anne&#39;s from Quarantine Island","Marianne North","1883","0.900"
"https://uploads2.wikiart.org/images/philip-wilson-steer/girls-running-walberswick-pier.jpg","Girls Running, Walberswick Pier","Philip Wilson Steer","1890","0.900"
"https://uploads8.wikiart.org/images/esaias-van-de-velde/winter-landscape-with-farmhouse-1624.jpg","Winter landscape with farmhouse","Esaias van de Velde","1624","0.900"
"https://uploads6.wikiart.org/images/george-henry/playmates-1884.jpg","Playmates","George Henry","1884","0.900"
"https://uploads5.wikiart.org/images/giovanni-domenico-tiepolo/summer-stroll-1757.jpg","Summer Stroll","Giovanni Domenico Tiepolo","1757","0.900"
"https://uploads6.wikiart.org/images/esaias-van-de-velde/winter-landscape.jpg","Winter landscape","Esaias van de Velde","XVI-XVII cent.","0.900"
"https://uploads7.wikiart.org/images/jules-dupre/small-floodplain.jpg","Small Floodplain","Jules Dupre","XIX cent.","0.900"
"https://uploads5.wikiart.org/images/thomas-cole/the-garden-of-eden-1828.jpg","The Garden of Eden","Thomas Cole","1828","0.900"
"https://uploads5.wikiart.org/images/federico-zandomeneghi/the-cafe-1884.jpg","The cafe","Federico Zandomeneghi","1884","0.900"
"https://uploads0.wikiart.org/images/august-macke/view-of-tegernsee.jpg","View of Tegernsee","August Macke","XIX-XX cent.","0.900"
"https://uploads5.wikiart.org/00146/images/jeremy-henderson/jeremy-henderson-120-002-theatre-stage-landscape-1986-oil-on-canvas-122x123cm-sold-ni-civil-service.jpg","Theatre, Stage, Landscape","Jeremy Henderson","1986","0.900"
"https://uploads5.wikiart.org/images/augustus-john/david-and-caspar-1912.jpg","David and Caspar","Augustus John","1912","0.900"
"https://uploads6.wikiart.org/images/henri-matisse/dance-ii-1910.jpg","Dance (II)","Henri Matisse","1910","0.900"
"https://uploads2.wikiart.org/images/bernardo-bellotto/the-schloss-hof-garden-side-1758.jpg","The Schloss Hof, Garden Side","Bernardo Bellotto","1758","0.900"
"https://uploads0.wikiart.org/images/antoine-pesne/marianne-cochois.jpg","Marianne Cochois","Antoine Pesne","1750","0.900"
"https://uploads3.wikiart.org/images/alfred-sisley/regata-at-hampton-court-1874.jpg","Regata at Hampton Court","Alfred Sisley","1874","0.900"
"https://uploads5.wikiart.org/images/sandro-botticelli/the-birth-of-venus-1485(1).jpg","The Birth of Venus","Sandro Botticelli","1485","0.900"
"https://uploads2.wikiart.org/images/raphael/the-sistine-madonna-1513.jpg","The Sistine Madonna","Raphael","1513","0.900"
"https://uploads6.wikiart.org/images/francisco-bayeu-y-subias/the-holy-family-1776.jpg","The Holy Family","Francisco Bayeu y Subias","1776","0.900"
"https://uploads7.wikiart.org/images/marie-guillemine-benoist/madame-jeanne-desbassayns-de-richemont-and-her-son-eug-ne.jpg","Madame Jeanne Desbassayns de Richemont And Her Son, Eug&#232;ne","Marie-Guillemine Benoist","XVIII-XIX cent.","0.900"
"https://uploads4.wikiart.org/images/caravaggio/amor-victorious-1602(1).jpg","Amor Victorious","Caravaggio","1602","0.900"
"https://uploads6.wikiart.org/images/fyodor-vasilyev/road-through-a-birchwood-1869.jpg","Road through a Birchwood","Fyodor Vasilyev","1867-1869","0.900"
"https://uploads8.wikiart.org/images/berthe-morisot/woman-and-child-in-a-garden-1884.jpg","Woman and Child in a Garden","Berthe Morisot","1883-1884","0.900"
"https://uploads5.wikiart.org/images/george-lambert/chiswick-house-middlesex-1742.jpg","Chiswick House, Middlesex","George Lambert","1742","0.900"
"https://uploads6.wikiart.org/images/caspar-david-friedrich/landscape-with-rainbow.jpg","Landscape with rainbow","Caspar David Friedrich","1810","0.900"
"https://uploads2.wikiart.org/images/maxim-vorobiev/the-nevka-by-the-elagin-island-1829.jpg","The Nevka by the Elagin Island","Maxim Vorobiev","1829","0.900"
"https://uploads8.wikiart.org/images/julius-leblanc-stewart/reading-1884(1).jpg","Reading","Julius LeBlanc Stewart","1884","0.900"
"https://uploads4.wikiart.org/images/george-catlin/ball-play-dance-1835.jpg","Ball-Play Dance","George Catlin","1835","0.900"
"https://uploads8.wikiart.org/images/albert-anker/der-schulspaziergang-1872.jpg","Der Schulspaziergang","Albert Anker","1872","0.900"
"https://uploads5.wikiart.org/images/childe-hassam/celia-thaxter-s-garden-appledore-isles-of-shoals.jpg","Celia Thaxter&#39;s Garden, Appledore, Isles of Shoals","Childe Hassam","1890","0.900"
"https://uploads1.wikiart.org/images/janos-tornyai/great-tree-at-m-rt-ly-1910.jpg","Great Tree at M&#225;rt&#233;ly","Janos Tornyai","1910","0.900"
"https://uploads2.wikiart.org/images/francois-boucher/triumph-of-venus-1740(1).jpg","The Birth and Triumph of Venus","Francois Boucher","1740","0.900"
"https://uploads7.wikiart.org/images/henri-rousseau/centennial-of-independence-1892.jpg","Centennial of&#160;Independence","Henri Rousseau","1892","0.900"
"https://uploads7.wikiart.org/00103/images/maarten-de-vos/portrait-of-antonius-anselmus-his-wife-and-their-children-1577.jpg","Portrait of Antonius Anselmus, His Wife and Their Children","Maarten de Vos","1577","0.900"
"https://uploads1.wikiart.org/images/jean-honore-fragonard/young-girl-reading.jpg","A Young Girl Reading","Jean-Honore Fragonard","1776","0.900"
"https://uploads1.wikiart.org/images/peder-severin-kroyer/hip-hip-hurrah-1888.jpg","Hip, Hip, Hurrah!","Peder Severin Kroyer","1888","0.885"
"https://uploads4.wikiart.org/images/adriaen-van-ostade/country-concert.jpg","Country Concert","Adriaen van Ostade","1636","0.870"
"https://uploads2.wikiart.org/images/edouard-manet/the-monet-family-in-their-garden-at-argenteuil-1874(1).jpg","The Monet family in their garden at Argenteuil","Edouard Manet","1874","0.851"
"https://uploads1.wikiart.org/images/edouard-manet/music-in-the-tuileries-gardens-1862.jpg","Music in the Tuileries Garden","Edouard Manet","1862","0.848"
"https://uploads7.wikiart.org/images/maxfield-parrish/garden-of-allah-1918.jpg","Garden of Allah","Maxfield Parrish","1918","0.846"
"https://uploads3.wikiart.org/00146/images/jozef-pankiewicz/jozef-pankiewicz-port-w-concarneau.jpg","Port of Concarneu","J&#243;zef Pankiewicz","1908","0.846"
"https://uploads6.wikiart.org/images/william-hogarth/untitled-dubbed-the-shrimp-girl-sometimes-the-saleswoman-of-crabs.jpg","Untitled, dubbed The Shrimp Girl, sometimes The Saleswoman of Crabs","William Hogarth","1740-1745","0.844"
"https://uploads8.wikiart.org/images/jan-van-hemessen/the-prodigal-son-1536.jpg","Parable of the Prodigal Son","Jan van Hemessen","1536","0.833"
"https://uploads2.wikiart.org/images/giovanni-domenico-tiepolo/the-minuet-or-carnival-scene-1755.jpg","The Minuet or Carnival Scene","Giovanni Domenico Tiepolo","1754-1755","0.833"
"https://uploads7.wikiart.org/images/george-lambert/longford-castle-from-the-south-west-1743.jpg","Longford Castle from the South West","George Lambert","1743","0.833"
"https://uploads8.wikiart.org/images/mary-cassatt/children-playing-on-the-beach-1884.jpg","Children Playing On The Beach","Mary Cassatt","1884","0.833"
"https://uploads1.wikiart.org/images/nicolae-darascu/shepherd-and-sheep-at-vlaici-1912.jpg","Shepherd and Sheep at Vlaici","Nicolae Darascu","1912","0.833"
"https://uploads3.wikiart.org/images/henri-de-toulouse-lautrec/at-the-moulin-rouge-the-dance-1890.jpg","At the Moulin Rouge, The Dance","Henri de Toulouse-Lautrec","1890","0.822"
"https://uploads8.wikiart.org/images/adolph-menzel/afternoon-in-the-tuileries-gardens-1867(1).jpg","Afternoon in the Tuileries Gardens","Adolph Menzel","1867","0.818"
"https://uploads2.wikiart.org/images/o-louis-guglielmi/the-river-1942.jpg","The River","O. Louis Guglielmi","1942","0.818"
"https://uploads4.wikiart.org/images/albert-anker/bathers-1865.jpg","Bathers","Albert Anker","1865","0.818"
"https://uploads0.wikiart.org/images/berthe-morisot/child-in-the-rose-garden.jpg","Child in the Rose Garden","Berthe Morisot","1881","0.818"
"https://uploads4.wikiart.org/images/edouard-manet/lola-de-valence-1862.jpg","Lola de Valence","Edouard Manet","1862","0.818"
"https://uploads0.wikiart.org/images/pavel-fedotov/the-major-s-marriage-proposal-1851.jpg","The Major&#39;s Marriage Proposal","Pavel Fedotov","1851","0.818"
"https://uploads1.wikiart.org/images/judith-leyster/jolly-toper-1629.jpg","Jolly Toper","Judith Leyster","1629","0.818"
"https://uploads5.wikiart.org/images/john-singleton-copley/portrait-of-familie-copley-1776.jpg","Portrait of Familie Copley","John Singleton Copley","1776","0.818"
"https://uploads3.wikiart.org/images/gustave-loiseau/banks-of-the-seine-in-summer-tournedos-sur-seine-1899.jpg","Banks of the Seine in Summer, Tournedos sur Seine","Gustave Loiseau","1899","0.818"
"https://uploads2.wikiart.org/images/judith-leyster/the-serenade-1629.jpg","The serenade","Judith Leyster","1629","0.818"
"https://uploads5.wikiart.org/images/edouard-manet/the-luncheon-on-the-grass-1863.jpg","The Luncheon on the Grass","Edouard Manet","1863","0.818"
"https://uploads5.wikiart.org/images/jean-marc-nattier/thalia-muse-of-comedy-1739.jpg","Thalia, Muse of Comedy","Jean-Marc Nattier","1739","0.818"
"https://uploads5.wikiart.org/images/jean-francois-millet/harvesters-resting-1853.jpg","Harvesters Resting","Jean-Francois Millet","1850-1853","0.800"
"https://uploads5.wikiart.org/images/camille-corot/souvenir-of-mortefontaine-1864.jpg","Souvenir of Mortefontaine","Camille Corot","1864","0.800"
"https://uploads6.wikiart.org/images/esaias-van-de-velde/ice-on-the-moat-entertainment-1618.jpg","Ice on the moat entertainment","Esaias van de Velde","1618","0.800"
"https://uploads4.wikiart.org/images/jules-dupre/village-landscape-1844.jpg","Village Landscape","Jules Dupre","1844","0.800"
"https://uploads8.wikiart.org/images/piero-della-francesca/nativity-1475(2).jpg","Nativity","Piero della Francesca","1470-1475","0.800"
"https://uploads3.wikiart.org/the-sleeping-venus-1510(2).jpg","The Sleeping Venus","Giorgione","1508-1510","0.800"
"https://uploads4.wikiart.org/images/dirk-bouts/mary-and-child.jpg","Mary and Child","Dirk Bouts","1465","0.800"
"https://uploads0.wikiart.org/images/marie-guillemine-benoist/portrait-of-a-lady-1799.jpg","Portrait of a Lady","Marie-Guillemine Benoist","1799","0.800"
"https://uploads2.wikiart.org/images/gheorghe-tattarescu/woman-with-tambourine.jpg","Woman with Tambourine","Gheorghe Tattarescu","XIX cent.","0.800"
"https://uploads4.wikiart.org/images/charles-willson-peale/thomas-and-henry-sergeant-1787.jpg","Thomas and Henry Sergeant","Charles Willson Peale","1787","0.800"
"https://uploads7.wikiart.org/images/jean-honore-fragonard/girl-with-a-dog.jpg","Girl with a Dog","Jean-Honore Fragonard","1770","0.800"
"https://uploads0.wikiart.org/images/edmund-charles-tarbell/in-a-garden-1890.jpg","In a Garden","Edmund Charles Tarbell","1890","0.800"
"https://uploads3.wikiart.org/images/nicolae-darascu/boats-at-saint-tropez-1913.jpg","Boats at Saint Tropez","Nicolae Darascu","1913","0.800"
"https://uploads3.wikiart.org/images/johan-hendrik-weissenbruch/landscape-with-windmill-near-schiedam-1873.jpg","Landscape with windmill near Schiedam","Johan Hendrik Weissenbruch","1873","0.800"
"https://uploads7.wikiart.org/images/johann-anton-de-peters/huldigung-an-gluck-1775.jpg","Huldigung an Gluck","Johann Anton de Peters","1775","0.800"
"https://uploads8.wikiart.org/images/marc-chagall/the-fiddler-1913.jpg","The Fiddler","Marc Chagall","1913","0.800"
"https://uploads8.wikiart.org/images/mikhail-lebedev/ariccia-near-rome-1836.jpg","Ariccia near Rome","Mikhail Lebedev","1836","0.800"
"https://uploads0.wikiart.org/images/paul-cezanne/still-life-with-bottle-and-apple-basket-1894.jpg","Basket of Apples","Paul Cezanne","1895","0.800"
"https://uploads4.wikiart.org/images/jacob-jordaens/satyr-playing-flute.jpg","Satyr playing flute","Jacob Jordaens","1640","0.800"
"https://uploads2.wikiart.org/images/jules-dupre/landscape-with-cattle-at-limousin-1837.jpg","Landscape with Cattle at Limousin","Jules Dupre","1837","0.800"
"https://uploads0.wikiart.org/images/auguste-herbin/still-life-1920.jpg","Still Life","Auguste Herbin","1920","0.800"
"https://uploads3.wikiart.org/images/charles-francois-daubigny/the-park-at-st-cloud-1865.jpg","The Park at St. Cloud","Charles-Francois Daubigny","1865","0.800"
"https://uploads3.wikiart.org/images/cuno-amiet/girl-with-flowers-1896.jpg","Girl with Flowers","Cuno Amiet","1896","0.800"
"https://uploads4.wikiart.org/images/eyvind-earle/grazing-in-peace-1970.jpg","Grazing in Peace","Eyvind Earle","1970","0.800"
"https://uploads0.wikiart.org/images/frits-thaulow/on-the-grand-canal-venice.jpg","On the Grand Canal, Venice","Frits Thaulow","1885","0.800"
"https://uploads3.wikiart.org/images/maurice-denis/april-1892.jpg","April","Maurice Denis","1892","0.800"
"https://uploads7.wikiart.org/images/gabriele-munter/jawlensky-and-werefkin-1908(1).jpg","Jawlensky and Werefkin","Gabriele Munter","1908","0.800"
"https://uploads1.wikiart.org/images/hubert-robert/architectural-fantasy-1760.jpg","Architectural Fantasy","Hubert Robert","1760","0.800"
"https://uploads8.wikiart.org/images/francisco-oller/la-ceiba-de-ponce-1888.jpg","La ceiba de Ponce","Francisco Oller","1888","0.800"
"https://uploads5.wikiart.org/images/eastman-johnson/negro-life-in-the-south-1859.jpg","Negro Life in the South","Eastman Johnson","1859","0.800"
"https://uploads8.wikiart.org/images/mikhail-lebedev/albano-white-wall-1837.jpg","Albano. White Wall","Mikhail Lebedev","1837","0.800"
"https://uploads8.wikiart.org/images/marie-bracquemond/the-artist-s-son-and-sister-in-the-garden-at-sevres-1890.jpg","The Artistâs Son and Sister in the Garden at Sevres","Marie Bracquemond","1890","0.800"
"https://uploads7.wikiart.org/images/august-macke/terrace-of-the-country-house-in-st-germain.jpg","Terrace of the country house in St. Germain","August Macke","1914","0.800"
"https://uploads5.wikiart.org/images/ivan-shishkin/promenading-in-the-forest-1869.jpg","Promenading in the Forest","Ivan Shishkin","1869","0.800"
"https://uploads8.wikiart.org/images/johan-hendrik-weissenbruch/view-of-haarlem-1848.jpg","View of Haarlem","Johan Hendrik Weissenbruch","1845-1848","0.800"
"https://uploads8.wikiart.org/images/david-park/kids-on-bikes-1950.jpg","Kids on Bikes","David Park","1950","0.800"
"https://uploads3.wikiart.org/images/pieter-aertsen/the-egg-dance-1552.jpg","The Egg Dance","Pieter Aertsen","1552","0.800"
"https://uploads8.wikiart.org/images/ant-nio-de-carvalho-da-silva-porto/no-areinho-douro-1880.jpg","No Areinho, Douro","Ant&#243;nio de Carvalho da Silva Porto","1880","0.800"
"https://uploads1.wikiart.org/images/eyvind-earle/silent-meadow-1990.jpg","Silent Meadow","Eyvind Earle","1990","0.800"
"https://uploads7.wikiart.org/images/thomas-jones/in-the-road-to-santa-maria-de-monti-near-naples-morning-1781.jpg","In the Road to Santa Maria deâMonti, near Naples. Morning","Thomas Jones","1781","0.800"
"https://uploads2.wikiart.org/images/john-constable/view-of-salisbury-cathedral-from-the-bishop-s-grounds.jpg","View of Salisbury Cathedral from the Bishop&#39;s Grounds","John Constable","1823","0.800"
"https://uploads2.wikiart.org/images/giovanni-bellini/the-san-giobbe-altarpiece-detail-of-music-making-angels-1480.jpg","The San Giobbe Altarpiece Detail of Music Making Angels","Giovanni Bellini","1480","0.800"
"https://uploads8.wikiart.org/images/george-lambert/pastoral-scene-with-a-peasant-family-1753.jpg","Pastoral Scene with a Peasant Family","George Lambert","1753","0.800"
"https://uploads6.wikiart.org/images/edgar-degas/three-dancers-in-an-exercise-hall.jpg","Three Dancers in an Exercise Hall","Edgar Degas","1880","0.800"
"https://uploads8.wikiart.org/images/joachim-wtewael/adoration-by-the-shepherds-1625.jpg","Adoration by the Shepherds","Joachim Wtewael","1625","0.800"
"https://uploads2.wikiart.org/images/vasily-sadovnikov/mariinsky-palace-as-seen-from-the-blue-bridge-1847.jpg","Mariinsky Palace as Seen from the Blue Bridge","Vasily Sadovnikov","1847","0.800"
"https://uploads1.wikiart.org/images/asgrimur-jonsson/from-hornafj-r-ur-the-farm-st-ra-l-g-southeast-iceland-1912.jpg","From Hornafj&#246;r&#240;ur, the Farm St&#243;ra-L&#225;g, Southeast Iceland","Asgrimur Jonsson","1912","0.800"
"https://uploads3.wikiart.org/images/franz-xaver-winterhalter/florinda.jpg","Florinda","Franz Xaver Winterhalter","1853","0.800"
"https://uploads6.wikiart.org/images/marie-laurencin/spanish-dancers-1921.jpg","Spanish Dancers","Marie Laurencin","1921","0.800"
"https://uploads7.wikiart.org/images/arkhip-kuindzhi/sunset-in-the-winter-a-coast-of-the-sea.jpg","Sunset in the winter. A coast of the sea","Arkhip Kuindzhi","1890","0.800"
"https://uploads6.wikiart.org/images/vieira-portuense/dona-filipa-de-vilhena-knighting-her-sons-1891.jpg","Dona Filipa de Vilhena knighting her sons","Vieira Portuense","1801","0.800"
"https://uploads8.wikiart.org/images/leonardo-da-vinci/madonna-litta-madonna-and-the-child(1).jpg","Madonna Litta (Madonna and the Child)","Leonardo da Vinci","1490","0.800"
"https://uploads2.wikiart.org/images/rosalba-carriera/africa.jpg","Africa","Rosalba Carriera","XVII-XVIII cent.","0.800"
"https://uploads6.wikiart.org/images/giovanni-fattori/frau-martelli-in-castiglioncello-1870.jpg","Frau Martelli in Castiglioncello","Giovanni Fattori","1870","0.800"
"https://uploads3.wikiart.org/images/henry-raeburn/portrait-of-the-reverend-robert-walker-skating.jpg","The Skating Minister (The Reverend Robert Walker Skating on Duddingston Loch)","Henry Raeburn","1784","0.800"
"https://uploads6.wikiart.org/images/gustave-caillebotte/the-nap.jpg","The Nap","Gustave Caillebotte","1877","0.800"
"https://uploads2.wikiart.org/images/david-teniers-the-younger/a-monkey-encampment-1633.jpg","A Monkey Encampment","David Teniers the Younger","1633","0.800"
"https://uploads2.wikiart.org/images/jean-baptiste-greuze/11.jpg","The Guitarist","Jean-Baptiste Greuze","1757","0.800"
"https://uploads7.wikiart.org/images/albert-marquet/the-port-le-havre-1906.jpg","The Port, Le Havre","Albert Marquet","1906","0.800"
"https://uploads3.wikiart.org/images/albert-anker/young-mother-contemplating-her-sleeping-child-in-candlelight-1875.jpg","Young mother contemplating her sleeping child in candlelight","Albert Anker","1875","0.800"
"https://uploads8.wikiart.org/images/albert-marquet/girl-embroidering-seated-in-a-garden-1896.jpg","Girl Embroidering, Seated in a Garden","Albert Marquet","1896","0.800"
"https://uploads7.wikiart.org/images/antonio-donghi/il-giocoliere.jpg","Il giocoliere","Antonio Donghi","XX cent.","0.800"
"https://uploads7.wikiart.org/images/adolph-menzel/flute-concert-with-frederick-the-great-in-sanssouci-1852(1).jpg","Flute Concert with Frederick the Great in Sanssouci","Adolph Menzel","1852","0.800"
"https://uploads1.wikiart.org/images/joshua-reynolds/three-ladies-adorning-a-term-of-hymen-1773.jpg","Three Ladies Adorning a Term of Hymen","Joshua Reynolds","1773","0.800"
"https://uploads8.wikiart.org/00132/images/henry-moore-ra/moore-henry-the-rainbow-1865-oil-on-canvas.jpg","The Rainbow","Henry Moore","1865","0.800"
"https://uploads5.wikiart.org/images/rosalyn-drexler/chubby-checker-1964.jpg","Chubby Checker","Rosalyn Drexler","1964","0.800"
"https://uploads2.wikiart.org/images/martiros-saryan/at-the-well-1908.jpg","At the well","Martiros Sarian","1908","0.800"
"https://uploads5.wikiart.org/images/pierre-auguste-renoir/the-large-bathers-1887.jpg","The Large Bathers","Pierre-Auguste Renoir","1887","0.800"
"https://uploads3.wikiart.org/images/david-wilkie/the-penny-wedding(1).jpg","The Penny Wedding","David Wilkie","1818","0.800"
"https://uploads7.wikiart.org/images/antonio-dacosta/a-festa-1942.jpg","A Festa","Antonio Dacosta","1942","0.800"
"https://uploads2.wikiart.org/images/winslow-homer/the-bridal-path-white-mountains-1868.jpg","The Bridal Path, White Mountains","Winslow Homer","1868","0.800"
"https://uploads6.wikiart.org/images/maxime-maufra/the-port-of-la-rochelle-at-twilight-1911.jpg","The Port of La Rochelle at Twilight","Maxime Maufra","1911","0.800"
"https://uploads7.wikiart.org/images/david-allan/portrait-of-two-boys-1783.jpg","Portrait of Two Boys","David Allan","1783","0.800"
"https://uploads5.wikiart.org/images/maxim-vorobiev/smirna-1820.jpg","Smirna","Maxim Vorobiev","1820","0.800"
"https://uploads1.wikiart.org/images/paula-modersohn-becker/elizabeth-with-hens-under-an-apple-tree-1902.jpg","Elizabeth with Hens under an Apple Tree","Paula Modersohn-Becker","1902","0.800"
"https://uploads5.wikiart.org/images/p-ricl-s-pantazis/ath-the-beach-no2.jpg","At the beach","Pericles Pantazis ","XIX cent.","0.800"
"https://uploads7.wikiart.org/images/max-pechstein/the-yellow-and-black-jersey-1909.jpg","The yellow and black jersey","Max Pechstein","1909","0.800"
"https://uploads2.wikiart.org/images/claude-monet/women-in-the-garden.jpg","Women in the garden","Claude Monet","1866","0.792"
"https://uploads0.wikiart.org/images/filipp-malyavin/laughting-1898.jpg","Laughting","Filipp Malyavin","1898","0.787"
"https://uploads3.wikiart.org/images/judith-leyster/merry-company-1630.jpg","Merry Company","Judith Leyster","1630","0.778"
"https://uploads8.wikiart.org/images/theodore-rousseau/spring-1852.jpg","Spring","Theodore Rousseau","1852","0.778"
