<<<<<<< HEAD
ImageURL,Title,Artist,Year,angry
"https://uploads1.wikiart.org/images/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841.jpg","Battle of Fontenoy-en-Puisaye in 841","Jean Fouquet","1460","0.600"
"https://uploads3.wikiart.org/images/pierre-paul-prud-hon/justice-and-divine-vengeance-pursuing-crime-1808.jpg","Justice and Divine Vengeance pursuing Crime","Pierre-Paul Prud&#39;hon","1808","0.600"
"https://uploads6.wikiart.org/images/eustache-le-sueur/rape-of-tamar-1640.jpg","Rape of Tamar","Eustache Le Sueur","1640","0.600"
"https://uploads1.wikiart.org/images/paolo-uccello/st-george-and-the-dragon-1.jpg","St.George and the Dragon","Paolo Uccello","XV cent.","0.600"
"https://uploads3.wikiart.org/images/francisco-goya/execution-of-the-defenders-of-madrid-3rd-may-1808-1814.jpg","The Third of May 1808 (Execution of the Defenders of Madrid)","Francisco Goya","1814","0.600"
"https://uploads4.wikiart.org/images/anne-louis-girodet/revolt-in-cairo-on-21-october-1798-1810(1).jpg","Revolt in Cairo (on) 21 October 1798","Anne-Louis Girodet","1810","0.551"
"https://uploads3.wikiart.org/images/agostino-carracci/venus-punishing-profane-love-1595.jpg","Venus Punishing Profane Love","Agostino Carracci","1590-1595","0.545"
"https://uploads4.wikiart.org/images/paolo-uccello/the-battle-of-san-romano-1440.jpg","The Battle of San Romano","Paolo Uccello","1438-1440","0.545"
"https://uploads3.wikiart.org/images/adriaen-van-de-venne/beggars-fighting-1634.jpg","Beggars Fighting","Adriaen van de Venne","1634","0.545"
>>>>>>> ae7bd533ef3fe9908b05db68437ec04ef6ec07da
